,,What are the two most common climatic factors used in research of the relationship between climate and SOCS?,The two most common climatic factors that have been selected in previous studies on the relationship between climate and SOCS are mean annual precipitation MAP and mean annual temperature MAT,,,
,,"What is the effect of Annual Sunshine Duration, the number of Snow-Covered Days and Annual Maximum Depth of Accumulated Snow on plant photosynthesis and transpiration?","Annual Sunshine Duration, the number of Snow-Covered Days and Annual Maximum Depth of Accumulated Snow have been shown to affect plant photosynthesis and transpiration Bansouleh et al, 2009, plant phenology Yuan et al, 2016, and nutrient transformation Edwards et al, 2007",,,
,,What is the influence of the spatial scale on the Soil Organic Carbon Storage SOCS in different grassland types?,"The influence of the spatial scale on the Soil Organic Carbon Storage SOCS in different grassland types is crucial Previous studies have investigated the relationship between climate factors and SOCS at local, continental or global scales Ni, 2002; Wang et al, 2002; Wu et al, 2008; Singh et al, 2011",,,
,,What are the two hypotheses proposed by Wang et al?,"The two hypotheses proposed by Wang et al are 1 the main climate factors affecting SOCS differ across area scales, and 2 the effect of climate factors on SOCS increases with area scale",,,
,,"How do differences in vegetation types, plant tissue quality, and composition of various types of grasslands affect their soil carbon storage capacity?","Differences in vegetation types, plant tissue quality, and composition of various types of grasslands affect their soil carbon storage capacity by affecting the SOCS and making it difficult to accurately estimate its value based on a single grassland type or a single region",,,
,,What are the two questions this study aims to answer?,The two questions this study aims to answer are 1 Do the dominant climatic factors affecting SOCS change with area scale? 2 Is the impact of climate factors on SOCS regulated by grassland area scale?,,,
,,What geographical region was chosen as the sampling area for this study?,The grasslands in northern China were chosen as the sampling area for this study,,,
,,Where is the study area located?,"The study area is located in northern China between 83â—¦E-127 â—¦E, 35â—¦N-52 â—¦N",,,
,,What percentage of the Chinese grasslands does the study area cover?,The study area covers an area of 284 % of Chinese grasslands,,,
,,What are the climate conditions in temperate grasslands?,"The annual precipitation decreases from east to west, ranging from 450 mm to 150 mm, while the annual average temperature increases from the north to the south, ranging from 4 degrees Celsius to 9 degrees Celsius",,,
,,What are the dominant communities in the meadow grassland?,"The dominant communities in the meadow grassland are mesophytic perennial bunch grasses and perennial rhizomatous grasses, with indicator species such as Artemisia tanacetifolia, Schizonepeta multifidi, and Bromus inermis",,,
,,What are the predominant species of desert grassland?,"The predominant species of desert grassland are perennial xerophytic short bunch grasses such as Stipa tianschanica, strong-xerophytic dwarf shrubs such as Caragana stenophylla, and mixed dwarf semi-shrubs such as Artemisia frigida",,,
,,What are the soil types of desert grassland?,"The soil types of desert grassland include dark brown calcium soil, light brown calcium soil, sandy brown calcium soil, sandy brown calcium soil, mountain brown calcium soil, light chestnut soil, mountain chestnut soil, and mountain light chestnut soil",,,
,,What type of ground is typically covered in northern China due to wind erosion?,The ground is usually covered with coarse sand and gravel due to wind erosion,,,
,,How many scales were defined in northern China to measure the grassland area?,"Three scales were defined scale I, scale II, and scale III, with increasing grassland type and area",,,
,,What types of grasslands were combined to produce the scale III of area 11167 Ã— 104 km2?,"The three types of grasslands combined to create scale III of area 11167 x 104 km2 were the meadow-typical, meadow-desert, and typical-desert types",,,
,,How much of the total area was occupied by the top 10 formations in each of the three grassland types?,"The top 10 formations in each of the three grassland types occupied 934 %, 908 %, and 806 % of the total area respectively",,,
,,How many plots were selected in the three grassland types to minimize errors when evaluating SOCS?,A total of 150 plots were selected in the three grassland types to minimize errors when evaluating SOCS,,,
